factor,date,rank_ic,samples,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,horizon,top_bottom
momentum_20d,2016-02-01,-0.157548,80,0.014961,0.007965,0.013777,0.015675,0.001193,0.008534,0.016368,0.012198,0.003259,-0.003725,1,-0.018687
momentum_20d,2016-02-02,-0.127168,80,-0.006914,0.003526,0.00231,-0.000624,-0.007315,-0.005143,-0.006273,0.000984,-0.001699,-0.010103,1,-0.003189
momentum_20d,2016-02-03,-0.265682,80,0.010054,0.00846,-0.004581,0.000851,0.013973,0.005058,-0.009939,-0.013406,-0.003032,0.000798,1,-0.009255
momentum_20d,2016-02-04,-0.120183,80,0.012092,-0.005484,0.010782,0.006055,0.008578,0.008494,-0.001717,-0.000104,0.002995,0.002077,1,-0.010015
momentum_20d,2016-02-05,-0.173465,80,0.022124,0.025753,0.020273,0.01949,0.015967,0.014136,0.008753,0.016383,0.018027,0.014986,1,-0.007138
momentum_20d,2016-02-08,-0.01601,80,-0.001632,-0.00332,-0.008606,-0.004378,-0.008633,-0.015966,-0.001522,0.001381,-0.013925,-0.002912,1,-0.00128
momentum_20d,2016-02-09,-0.165799,80,0.002464,0.010296,0.016668,0.014808,0.016892,0.022224,0.005132,0.001344,0.010318,-0.002726,1,-0.00519
momentum_20d,2016-02-10,-0.122363,80,-0.006806,-0.006738,-0.00686,-0.006416,-0.014867,-0.021975,-0.011549,-0.020757,-0.011617,-0.008356,1,-0.001551
momentum_20d,2016-02-11,-0.271425,80,0.002387,0.019213,0.005997,0.011637,0.001998,0.005251,0.000266,-0.00547,0.003559,-0.007168,1,-0.009555
momentum_20d,2016-02-12,-0.13917,80,-0.004578,-0.014998,-0.003941,-0.0186,-0.0074,-0.012756,-0.003865,-0.010577,-0.010846,-0.021046,1,-0.016468
momentum_20d,2016-02-15,-0.087178,80,0.01219,0.017926,0.008031,0.017648,0.012389,0.010211,0.014516,0.01755,0.004766,0.018783,1,0.006593
momentum_20d,2016-02-16,-0.16008,80,0.021145,0.007008,0.021063,7.4e-05,-0.000581,0.00543,0.00092,0.011063,0.008382,0.004118,1,-0.017027
momentum_20d,2016-02-17,-0.154219,80,0.014923,0.012772,0.012246,0.016299,0.001258,0.014879,0.007075,0.010292,0.006662,0.003466,1,-0.011457
momentum_20d,2016-02-18,-0.0173,80,0.004444,-0.016618,0.003557,-0.018351,-0.005682,-0.010198,-0.001214,0.0006,-0.005789,-0.008227,1,-0.012671
momentum_20d,2016-02-19,-0.160853,80,0.002835,0.021516,-0.001508,0.001532,0.010574,0.005672,0.008184,0.005541,0.010276,-0.010527,1,-0.013363
momentum_20d,2016-02-22,-0.034552,80,-0.002724,0.00335,-0.004076,-0.006848,-0.00791,-0.006542,0.000357,0.002359,-0.003079,-0.005882,1,-0.003157
momentum_20d,2016-02-23,-0.027707,80,-0.009369,0.010186,-0.003533,-0.007671,-0.008934,-0.003674,-0.005435,0.006298,-0.002553,-0.007296,1,0.002073
momentum_20d,2016-02-24,-0.238326,80,0.019045,0.003554,0.011459,0.002064,0.009972,-0.001479,0.003611,0.001342,-0.004146,0.003677,1,-0.015369
momentum_20d,2016-02-25,0.023652,80,0.003998,0.002103,0.011181,0.018563,0.01766,0.007738,0.012179,-0.002541,0.017081,0.005602,1,0.001604
momentum_20d,2016-02-26,-0.012353,80,0.008941,0.003929,-0.004397,0.000852,0.006563,0.004276,0.006437,-0.001967,0.008326,-0.001509,1,-0.01045
momentum_20d,2016-02-29,-0.172035,80,-0.002262,-0.008435,-0.003233,-0.002032,-0.007902,-0.012092,-0.0072,-0.011171,-0.015897,-0.008495,1,-0.006233
momentum_20d,2016-03-01,-0.106282,80,0.003921,-0.001854,-0.003505,-0.002536,-0.010126,0.001463,0.000948,-0.008128,-0.005473,-0.005166,1,-0.009087
momentum_20d,2016-03-02,0.035466,80,0.018467,0.009623,0.005728,0.004506,0.010135,0.016524,0.012356,0.012984,0.010224,0.010837,1,-0.007631
momentum_20d,2016-03-03,-0.184201,80,0.005794,0.013687,0.011448,0.013143,0.010304,0.017225,-0.000138,0.00909,0.007004,-0.002351,1,-0.008145
