factor,horizon,periods,rank_ic_mean,rank_ic_ir,rank_ic_positive_ratio,top_bottom_mean
momentum_20d,1,399,-0.00785,-0.096881,0.43609,-0.000608
momentum_20d,5,395,-0.015892,-0.187506,0.425316,-0.002584
momentum_20d,10,390,-0.022458,-0.262326,0.389744,-0.004858
momentum_20d,20,380,-0.015923,-0.216069,0.384211,-0.006353
reversal_5d,1,414,0.00224,0.028899,0.504831,0.000201
reversal_5d,5,410,0.006616,0.082033,0.514634,0.000667
reversal_5d,10,405,0.01466,0.191276,0.567901,0.002564
reversal_5d,20,395,0.019406,0.25032,0.594937,0.005912
volatility_20d,1,399,0.004038,0.049439,0.538847,3.1e-05
volatility_20d,5,395,0.00151,0.018812,0.544304,0.000577
volatility_20d,10,390,0.005023,0.063569,0.515385,0.000737
volatility_20d,20,380,0.011175,0.139659,0.547368,0.004009
turnover_signal,1,419,-0.009478,-0.122004,0.427208,-0.000231
turnover_signal,5,415,-0.010212,-0.126042,0.46988,-0.001539
turnover_signal,10,410,-0.005032,-0.058088,0.487805,-0.001337
turnover_signal,20,400,-0.002944,-0.03433,0.48,-0.002115
